,Complex,Metal,Solvent,E12,smiles,Reaction,redox_site_smiles
74,EGOTID,Mn4,ACN,-0.96,O1C2CCCCC2N2=Cc3ccccc3O[Mn+4]3412OC1CCCCC1N3=Cc1ccccc1O4,reduction,[Mn+4]
75,EGOTOJ,Mn4,ACN,-0.90,O1CCN2=Cc3c(O[Mn+4]4512OCCN4=Cc1c(O5)ccc2ccccc12)ccc1ccccc31,reduction,[Mn+4]
76,GAQDUX,Mn4,ACN,-0.82,O1CCN2=Cc3ccccc3O[Mn+4]3412OCCN3=Cc1ccccc1O4,reduction,[Mn+4]
77,AXISIJ,Mn2,1:1 ACN/DMF,0.12,Cl[Mn+2]123(Cl)Oc4ccc(cc4CN1(Cc1ccccn21)Cc1ccccn31)N(=O)=O,oxidation,[Mn+2]
78,AXISOP,Mn2,ACN,0.13,Cl[Mn+2]12(Cl)([OH]CC)n3ccccc3CN1(Cc1cccc(C)n21)Cc1cc(ccc1O)N(=O)=O,oxidation,[Mn+2]
79,AXITAC,Mn2,ACN,0.35,Br[Mn+2]123(Br)[OH]c4ccc(Br)cc4CN1(Cc1ccccn21)Cc1ccccn31,oxidation,[Mn+2]
80,FAQSAU,Co2,ACN,-0.71,Cl[Co+2]12(Cl)(O=C(N(C(C)C)C(C)C)c3ccccn13)O=C(N(C(C)C)C(C)C)c1ccccn21,reduction,[Co+2]
81,FAQSAU,Co2,ACN,0.41,Cl[Co+2]12(Cl)(O=C(N(C(C)C)C(C)C)c3ccccn13)O=C(N(C(C)C)C(C)C)c1ccccn21,oxidation,[Co+2]
82,NELLUN,Co2,DMF,-1.51,[N-]=[N+]=N[Co+2]123(N=[N+]=[N-])[NH](CC[NH]1Cc1ccccn21)Cc1ccccn31,reduction,[Co+2]
83,NELMAU,Co2,DMF,-1.41,COC1[NH]2CC[NH]3C(OC)c4ccccn4[Co+2]23(N=[N+]=[N-])(N=[N+]=[N-])n2ccccc12,reduction,[Co+2]
